code,SppCode,Sex,Number,ch
HB,CrRWhi,m,412,00001000000
HB,CrRWhi,f,413,00001000000
HB,CrRWhi,m,414,00001000000
HB,CrRWhi,m,415,00001000000
HB,CrRWhi,m,416,00001000000
HB,CrRWhi,m,417,00001000000
HB,CrRWhi,m,418,00001000000
HB,CrRWhi,m,419,00001000000
HB,CrRWhi,m,420,00001000000
HB,AmeEme,m,421,00001000000
HB,CrRWhi,f,422,00001000000
HB,CrRWhi,m,423,00001000000
HB,CrRWhi,f,424,00001000000
HB,CrRWhi,f,425,00001000000
HB,CrRWhi,m,426,00001000000
HB,CrRWhi,m,427,00001000000
CT,DtTWhi,f,428,00010000000
CT,AmeEme,m,429,00010000000
CT,DtTWhi,m,430,00010000000
CT,DtTWhi,m,431,00010000000
CT,HudWhi,f,432,00010000000
CT,HudWhi,m,433,00010000000
CT,DtTWhi,m,434,00010000000
CT,HudWhi,m,435,00010000000
CT,DtTWhi,m,436,00010000000
CT,HudWhi,f,437,00010000000
CT,HudWhi,m,438,00010000000
CT,TwSSki,m,439,00010000000
NMPN,PaiSki,m,440,00001000000
CT,AmeEme,m,441,00000100000
CT,TwSSki,m,442,00000100000
CT,BluDas,m,443,00000100000
CT,HudWhi,f,444,00000100000
CT,DtTWhi,m,445,00000100000
CT,HudWhi,m,446,00000100000
NMPN,PaiSki,m,447,00000100000
NMPN,PaiSki,m,448,00000100000
NMPN,ChFCor,f,449,00000100000
NMPN,AmeEme,m,450,00000100000
NMPN,UniClu,m,451,00000100000
NMBN,TwSSki,m,453,00100000000
NMBS,ChFCor,m,454,00000010000
NMBS,ChFCor,m,455,00000010000
NMBS,CrRWhi,m,456,00000010000
NMBS,UniClu,m,457,00000010000
NMBS,CalPen,m,458,00000010000
NMBS,ComWhi,m,460,00000010010
NMBS,UniClu,m,461,00000010000
NMBS,CrRWhi,m,462,00000010000
NMBS,AmeEme,m,463,00000010000
NMBS,AmeEme,m,464,00000010000
NMBS,CrRWhi,m,465,00000010000
NMBS,AmeEme,m,466,00000010000
NMBS,ChFCor,m,467,00000010000
NMBS,CrRWhi,m,468,00000010000
NMBS,CrRWhi,m,469,00000010000
NMBS,CalPen,m,470,00000010000
NMBS,CrRWhi,m,471,00000010000
NMBS,CrRWhi,m,472,00000010000
NMBS,CrRWhi,m,473,00000010000
NCCP,AmeEme,m,475,00010000000
NCCP,ChFCor,m,476,00011100000
NCCP,ChFCor,m,477,00010000000
NCCP,CGrDar,m,478,00010000000
NCCP,ChFCor,m,479,00010000000
NCCP,ChFCor,m,480,00010000000
NCCP,AmeEme,m,481,00010000000
NCCP,LanClu,m,482,00010000000
NCCP,BluDas,m,483,00010000000
NCCP,AmeEme,m,484,00010000000
NCCP,AmeEme,m,485,00010000000
NCCP,AmeEme,m,486,00010000000
NCCP,AmeEme,m,487,00010000000
NCCP,UniClu,m,488,00010000000
NCCP,CGrDar,m,489,00010000000
NCCP,UniClu,m,490,00010000000
NCCP,RubMea,m,491,00010000000
NCCP,RubMea,m,492,00010000000
NCCB,BluDas,m,493,00010000000
NCCB,TwSSki,m,494,00010000000
NCCB,ComWhi,f,495,00010000000
NCCB,BluDas,m,496,00010000000
NCCB,BluDas,m,497,00010000000
NCCB,BluDas,m,498,00010000000
NCCB,BluDas,m,499,00010000000
NCCB,ChFCor,m,500,00010000000
NCCB,BluDas,m,501,00010000000
NCCB,ComWhi,m,502,00010000000
NCCB,TwSSki,m,503,00010000000
NCCB,BluDas,m,504,00010000000
NCCB,DtTWhi,m,505,00010000000
NCCB,BluDas,m,506,00010000000
NCCB,TwSSki,m,507,00010000000
NCCB,WFaMea,m,508,00010000000
NCCB,SpaSki,m,509,00010000000
NCCB,DtTWhi,m,510,00010000000
NCCB,DtTWhi,m,511,00010000000
NCCB,BluDas,m,512,00010000000
CT,DtTWhi,m,513,00000010000
CT,HudWhi,m,514,00000010000
CT,HudWhi,m,515,00000010000
CT,EasPon,m,516,00000010000
NMBS,ComWhi,m,517,00000001000
NMBS,AmeEme,m,518,00000001000
NMBS,ChFCor,m,519,00000001000
NMBS,PaiSki,f,520,00000001000
NMBS,CrRWhi,f,521,00000001000
NMBS,CrRWhi,f,522,00000001000
NMBS,ChFCor,m,523,00000001000
NMBS,CrRWhi,m,524,00000001000
NMBS,BluDas,f,525,00000001000
NMBS,CrRWhi,m,526,00000001000
NMBS,BluDas,m,527,00000001000
NMBS,CrRWhi,m,528,00000001000
NMBS,CrRWhi,m,529,00000001010
NMBS,CrRWhi,m,530,00000001000
NMBS,CrRWhi,f,531,00000001000
NMBS,CrRWhi,m,532,00000001000
NMBS,CrRWhi,m,533,00000001000
NMBS,CrRWhi,m,535,00000001100
NMBS,CrRWhi,m,536,00000001000
NMBS,CrRWhi,m,537,00000001000
NMBS,CrRWhi,m,538,00000001000
NMBS,CrRWhi,m,539,00000001000
NMBS,CrRWhi,m,540,00000001000
NMBS,CrRWhi,m,541,00000001000
NMBS,CrRWhi,m,542,00000001000
NMBS,CrRWhi,m,543,00000001000
NMBS,CrRWhi,m,544,00000001100
NMBS,CrRWhi,m,545,00000001100
NMBS,CrRWhi,m,546,00000001100
NMBS,PaiSki,m,547,00000001000
NMBS,SpaSki,f,548,00000001000
NMBS,CrRWhi,m,549,00000001100
NMBS,CrRWhi,m,550,00000001000
NMBS,CrRWhi,m,551,00000001000
NMBS,CrRWhi,m,552,00000001000
NMBS,ChFCor,m,553,00000001100
NMBS,CrRWhi,m,554,00000001000
NMBS,CrRWhi,m,555,00000001000
NMBS,AmeEme,m,556,00000001000
NMBS,CrRWhi,m,557,00000001000
NMBS,CrRWhi,m,558,00000001000
NMBS,CrRWhi,m,559,00000001100
NMBS,CalPen,m,560,00000001000
NMBS,ComWhi,m,561,00000001000
NMBS,ChFCor,m,562,00000001100
NMBS,LanClu,m,563,00000001000
NCCP,AmeEme,m,564,00001000000
NMPN,BWiSki,m,564,00000010000
NCCP,ChFCor,m,565,00001100000
NCCP,DtTWhi,m,566,00001000000
NCCP,PaiSki,m,567,00001000000
NCCP,ChFCor,m,568,00001000000
NCCP,DtTWhi,m,569,00001000000
NCCP,ChFCor,m,570,00001000000
NCCP,AmeEme,m,571,00001000000
NCCP,ChFCor,m,572,00001000000
NCCP,DtTWhi,m,573,00001000000
NCCP,ComWhi,m,574,00001000000
NCCP,TwSSki,m,575,00001000000
NCCP,AmeEme,m,576,00001000000
NCCP,AmeEme,m,577,00001000000
NCCP,AmeEme,m,578,00001000000
NCCP,AmeEme,m,579,00001000000
NCCP,AmeEme,m,580,00001000000
NCCP,TwSSki,m,581,00001000000
NCCP,ChFCor,m,582,00001000000
NCCP,ChFCor,m,583,00001000000
NCCP,AmeEme,m,584,00001000000
NMBS,CrRWhi,m,585,00000000100
NMBS,CrRWhi,m,586,00000000100
NMBS,ComWhi,m,587,00000000110
NMBS,SlaSki,m,588,00000000100
NMBS,ChFCor,m,589,00000000100
NMBS,CrRWhi,m,590,00000000100
NMBS,CrRWhi,m,591,00000000100
NMBS,AmeEme,m,592,00000000100
NMBS,CrRWhi,f,593,00000000100
NMBS,CrRWhi,m,594,00000000100
NCCB,DtTWhi,m,595,00001000000
NCCB,DtTWhi,m,596,00001000000
NCCB,DtTWhi,m,597,00001000000
NCCB,DtTWhi,m,598,00001000000
NCCB,BluDas,m,599,00001000000
NCCB,BluDas,m,600,00001000000
NCCB,BluDas,m,601,00001000000
NCCP,ComWhi,m,602,00000100000
NCCP,UniClu,m,603,00000100000
NCCP,AmeEme,m,604,00000100000
NCCP,BluDas,m,605,00000100000
NCCP,CGrDar,m,606,00000100000
NCCP,ChFCor,m,607,00000100000
NCCP,ChFCor,f,608,00000100000
NCCP,ChFCor,f,609,00000100000
NCCP,AmeEme,f,610,00000100000
NCCP,TwSSki,m,611,00000100000
NMBS,ComWhi,m,612,00000000010
NMBS,CalPen,f,613,00000000010
NMBS,CrRWhi,m,614,00000000010
NMBS,AmeEme,m,615,00000000010
NMBS,CrRWhi,m,616,00000000011
NMBS,TwSSki,m,617,00000000010
NMBS,ChFCor,m,618,00000000010
NMBS,PaiSki,m,619,00000000010
NMBS,GrsDar,f,620,00000000010
NMBS,CrRWhi,m,621,00000000001
NMBS,CrRWhi,m,622,00000000001
NMBS,CrRWhi,m,623,00000000001
