location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,
HB,CrRWhi,m,216,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,222,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,223,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,ChFCor,m,224,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,226,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,227,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,228,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,AmeEme,m,229,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,f,230,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,f,231,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,232,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,233,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,234,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,235,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,236,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,237,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,238,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,239,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,240,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,m,241,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,f,242,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,CrRWhi,f,244,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
HB,AmeEme,m,245,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
CLSA,ChFCor,m,246,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0,
CLSA,ChFCor,m,247,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0,
CLSA,ChFCor,m,248,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0,
CLSA,ChFCor,m,249,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0,
CLSA,ChFCor,f,250,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0,
CLSA,ChFCor,m,251,7-Jun-18,1,1,0,0,0,0,0,0,0,0,0,
CLSA,ChFCor,m,252,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0,
NMBS,AmeEme,m,253,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
NMBS,BeaBas,m,254,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
NMBS,CrRWhi,m,255,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
NMBS,AmeEme,m,256,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
NMBS,DtTWhi,m,257,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
NMBS,CrRWhi,m,258,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0,
NMPS,PaiSki,f,259,9-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,ChFCor,m,262,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,CrRWhi,m,263,9-Jun-18,0,0,0,0,1,1,0,1,1,0,0,
NMBS,DeSSpi,m,264,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,ChFCor,m,265,9-Jun-18,0,0,0,0,1,1,0,0,0,0,0,
NMBS,DeSSpi,m,266,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,m,267,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,ChFCor,m,268,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,m,269,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,CGrDar,m,270,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,ChFCor,m,271,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,m,272,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,m,273,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,CrRWhi,m,274,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,PaiSki,m,275,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,m,276,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,CrRWhi,m,277,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,ChFCor,m,278,9-Jun-18,0,0,0,0,1,1,0,0,0,0,0,
NMBS,CrRWhi,m,279,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,m,280,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,PaiSki,m,281,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,PaiSki,m,282,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,UniClu,m,283,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,CarSad,f,284,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,CarSad,m,285,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,CrRWhi,m,286,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,CrRWhi,m,289,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,HudWhi,m,290,9-Jun-18,0,0,0,0,1,1,0,0,0,0,0,
NMBS,PaiSki,m,291,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,LanClu,m,292,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,CrRWhi,m,293,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,ChFCor,m,294,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,m,295,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,m,296,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,m,297,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,ChFCor,m,298,9-Jun-18,0,0,0,0,1,1,0,0,0,0,0,
NMBS,AmeEme,m,299,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,f,300,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,BluDas,m,301,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,AmeEme,m,302,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
NMBS,ComWhi,m,303,9-Jun-18,0,0,0,0,1,0,0,0,0,0,0,
CT,ChFCor,m,304,12-Jun-18,0,0,1,1,0,0,0,0,0,0,0,
CT,HudWhi,f,305,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
CT,HudWhi,f,306,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
CT,DtTWhi,m,307,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
CT,HudWhi,m,308,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
CT,HudWhi,m,309,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
CT,SpaSki,m,310,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
CT,DtTWhi,m,311,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
CT,ComWhi,m,312,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,DtTWhi,m,313,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,314,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,ChFCor,f,315,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,AmeEme,m,316,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,DtTWhi,m,317,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,318,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,AmeEme,m,319,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,AmeEme,m,320,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,DtTWhi,m,321,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,322,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,AmeEme,m,323,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,AmeEme,m,324,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,AmeEme,m,325,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,AmeEme,m,326,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,AmeEme,m,328,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,329,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,330,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,AmeEme,m,331,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
