Location,SppCode,Sex,Number,Date
NCCP,AmeEme,m,335,14-Jun-18
NCCP,AmeEme,m,336,14-Jun-18
NCCP,AmeEme,m,337,14-Jun-18
NCCP,ChFCor,m,338,14-Jun-18
NCCP,UniClu,m,339,14-Jun-18
NCCP,ChFCor,m,340,14-Jun-18
NCCP,ChFCor,m,341,14-Jun-18
NCCP,AmeEme,m,342,14-Jun-18
NCCB,DtTWhi,m,343,14-Jun-18
NCCB,DtTWhi,m,344,14-Jun-18
NCCB,DtTWhi,m,345,14-Jun-18
NCCB,ChFCor,m,346,14-Jun-18
NCCB,DtTWhi,m,347,14-Jun-18
NCCB,ChFCor,m,348,14-Jun-18
NCCB,UniClu,m,349,14-Jun-18
NMPN,PaiSki,m,350,14-Jun-18
NMPN,PaiSki,m,351,14-Jun-18
NMBN,ChFCor,m,352,14-Jun-18
NMBN,HudWhi,m,353,14-Jun-18
NMBN,AmeEme,m,354,14-Jun-18
NMBN,ComBas,m,355,14-Jun-18
NMBS,AmeEme,m,356,15-Jun-18
NMBS,CrRWhi,m,357,15-Jun-18
NMBS,ChFCor,m,358,15-Jun-18
NMBS,ChFCor,m,359,15-Jun-18
NMBS,ChFCor,m,360,15-Jun-18
NMBS,CrRWhi,m,361,15-Jun-18
NMBS,ChFCor,m,362,15-Jun-18
NMBS,CrRWhi,m,363,15-Jun-18
NMBS,CrRWhi,m,364,15-Jun-18
NMBS,ChFCor,m,365,15-Jun-18
NMBS,ComWhi,m,366,15-Jun-18
NMBS,CrRWhi,m,367,15-Jun-18
NMBS,ChFCor,m,368,15-Jun-18
NMBS,ChFCor,m,369,15-Jun-18
NMBS,AmeEme,m,370,15-Jun-18
NMBS,ChFCor,m,371,15-Jun-18
NMBS,AmeEme,m,372,15-Jun-18
NMBS,AmeEme,m,373,15-Jun-18
NMBS,CrRWhi,f,374,15-Jun-18
NMBS,AmeEme,m,375,15-Jun-18
NMBS,AmeEme,m,376,15-Jun-18
NMBS,CrRWhi,m,377,15-Jun-18
NMBS,AmeEme,m,378,15-Jun-18
NMBS,AmeEme,m,379,15-Jun-18
NMBS,AmeEme,m,380,15-Jun-18
NMBS,ChFCor,m,381,15-Jun-18
NMBS,ChFCor,m,382,15-Jun-18
NMBS,CrRWhi,m,383,15-Jun-18
NMBS,ChFCor,m,384,15-Jun-18
NMBS,PaiSki,m,385,15-Jun-18
NMBS,ChFCor,m,386,15-Jun-18
NMBS,CrRWhi,m,387,15-Jun-18
NMBS,ChFCor,m,388,15-Jun-18
NMBS,AmeEme,m,389,15-Jun-18
NMBS,ChFCor,m,390,15-Jun-18
NMBS,ChFCor,m,391,15-Jun-18
NMBS,ChFCor,m,392,15-Jun-18
NMBS,PaiSki,m,393,15-Jun-18
NMBS,DeSSpi,m,394,15-Jun-18
NMBS,PaiSki,m,395,15-Jun-18
NMBS,AmeEme,m,396,15-Jun-18
NMBS,CrRWhi,m,397,15-Jun-18
NMBS,CrRWhi,m,398,15-Jun-18
NMBS,CrRWhi,m,398,12-Jul-18
NMBS,CrRWhi,f,399,15-Jun-18
NMBS,HudWhi,m,400,15-Jun-18
NMBS,CrRWhi,f,401,15-Jun-18
NMBS,CrRWhi,m,402,15-Jun-18
NMBS,ChFCor,m,403,15-Jun-18
CLSA,ChFCor,m,404,15-Jun-18
CLSA,ChFCor,m,405,15-Jun-18
CLSA,ChFCor,m,406,15-Jun-18
CLSA,ChFCor,m,407,15-Jun-18
CLSA,ComWhi,m,408,15-Jun-18
HB,CrRWhi,m,409,16-Jun-18
HB,ComWhi,m,410,16-Jun-18
HB,ChFCor,m,411,16-Jun-18
HB,CrRWhi,m,412,16-Jun-18
HB,CrRWhi,f,413,16-Jun-18
HB,CrRWhi,m,414,16-Jun-18
HB,CrRWhi,m,415,16-Jun-18
HB,CrRWhi,m,416,16-Jun-18
HB,CrRWhi,m,417,16-Jun-18
HB,CrRWhi,m,418,16-Jun-18
HB,CrRWhi,m,419,16-Jun-18
HB,CrRWhi,m,420,16-Jun-18
HB,AmeEme,m,421,16-Jun-18
HB,CrRWhi,f,422,16-Jun-18
HB,CrRWhi,m,423,16-Jun-18
HB,CrRWhi,f,424,16-Jun-18
HB,CrRWhi,f,425,16-Jun-18
HB,CrRWhi,m,426,16-Jun-18
HB,CrRWhi,m,427,16-Jun-18
CT,DtTWhi,f,428,18-Jun-18
CT,AmeEme,m,429,18-Jun-18
CT,DtTWhi,m,430,18-Jun-18
CT,DtTWhi,m,431,18-Jun-18
CT,HudWhi,f,432,18-Jun-18
CT,HudWhi,m,433,18-Jun-18
CT,DtTWhi,m,434,18-Jun-18
CT,HudWhi,m,435,18-Jun-18
CT,DtTWhi,m,436,18-Jun-18
CT,HudWhi,f,437,18-Jun-18
CT,HudWhi,m,438,18-Jun-18
CT,TwSSki,m,439,18-Jun-18
NMPN,PaiSki,m,440,26-Jun-18
CT,AmeEme,m,441,29-Jun-18
CT,TwSSki,m,442,29-Jun-18
CT,BluDas,m,443,29-Jun-18
CT,HudWhi,f,444,29-Jun-18
CT,DtTWhi,m,445,29-Jun-18
CT,HudWhi,m,446,29-Jun-18
NMPN,PaiSki,m,447,29-Jun-18
NMPN,PaiSki,m,448,29-Jun-18
NMPN,ChFCor,f,449,29-Jun-18
NMPN,AmeEme,m,450,29-Jun-18
NMPN,UniClu,m,451,29-Jun-18
NMBN,TwSSki,m,453,29-Jun-18
NMBS,ChFCor,m,454,30-Jun-18
NMBS,ChFCor,m,455,30-Jun-18
NMBS,CrRWhi,m,456,30-Jun-18
NMBS,UniClu,m,457,30-Jun-18
NMBS,CalPen,m,458,30-Jun-18
NMBS,ComWhi,m,460,30-Jun-18
NMBS,ComWhi,m,460,12-Jul-18
NMBS,UniClu,m,461,30-Jun-18
NMBS,CrRWhi,m,462,30-Jun-18
NMBS,AmeEme,m,463,30-Jun-18
NMBS,AmeEme,m,464,30-Jun-18
NMBS,CrRWhi,m,465,30-Jun-18
NMBS,AmeEme,m,466,30-Jun-18
NMBS,ChFCor,m,467,30-Jun-18
NMBS,CrRWhi,m,468,30-Jun-18
NMBS,CrRWhi,m,469,30-Jun-18
NMBS,CalPen,m,470,30-Jun-18
NMBS,CrRWhi,m,471,30-Jun-18
NMBS,CrRWhi,m,472,30-Jun-18
NMBS,CrRWhi,m,473,30-Jun-18
NCCP,AmeEme,m,475,3-Jul-18
NCCP,ChFCor,m,476,3-Jul-18
NCCP,ChFCor,m,476,10-Jul-18
NCCP,ChFCor,m,476,12-Jul-18
NCCP,ChFCor,m,477,3-Jul-18
NCCP,CGrDar,m,478,3-Jul-18
NCCP,ChFCor,m,479,3-Jul-18
NCCP,ChFCor,m,480,3-Jul-18
NCCP,AmeEme,m,481,3-Jul-18
NCCP,LanClu,m,482,3-Jul-18
NCCP,BluDas,m,483,3-Jul-18
NCCP,AmeEme,m,484,3-Jul-18
NCCP,AmeEme,m,485,3-Jul-18
NCCP,AmeEme,m,486,3-Jul-18
NCCP,AmeEme,m,487,3-Jul-18
NCCP,UniClu,m,488,3-Jul-18
NCCP,CGrDar,m,489,3-Jul-18
NCCP,UniClu,m,490,3-Jul-18
NCCP,RubMea,m,491,3-Jul-18
NCCP,RubMea,m,492,3-Jul-18
NCCB,BluDas,m,493,3-Jul-18
NCCB,TwSSki,m,494,3-Jul-18
NCCB,ComWhi,f,495,3-Jul-18
NCCB,BluDas,m,496,3-Jul-18
NCCB,BluDas,m,497,3-Jul-18
NCCB,BluDas,m,498,3-Jul-18
NCCB,BluDas,m,499,3-Jul-18
NCCB,ChFCor,m,500,3-Jul-18
NCCB,BluDas,m,501,3-Jul-18
NCCB,ComWhi,m,502,3-Jul-18
NCCB,TwSSki,m,503,3-Jul-18
NCCB,BluDas,m,504,3-Jul-18
NCCB,DtTWhi,m,505,3-Jul-18
NCCB,BluDas,m,506,3-Jul-18
NCCB,TwSSki,m,507,3-Jul-18
NCCB,WFaMea,m,508,3-Jul-18
NCCB,SpaSki,m,509,3-Jul-18
NCCB,DtTWhi,m,510,3-Jul-18
NCCB,DtTWhi,m,511,3-Jul-18
NCCB,BluDas,m,512,3-Jul-18
CT,DtTWhi,m,513,8-Jul-18
CT,HudWhi,m,514,8-Jul-18
CT,HudWhi,m,515,8-Jul-18
CT,EasPon,m,516,8-Jul-18
NMBS,ComWhi,m,517,9-Jul-18
NMBS,AmeEme,m,518,9-Jul-18
NMBS,ChFCor,m,519,9-Jul-18
NMBS,PaiSki,f,520,9-Jul-18
NMBS,CrRWhi,f,521,9-Jul-18
NMBS,CrRWhi,f,522,9-Jul-18
NMBS,ChFCor,m,523,9-Jul-18
NMBS,CrRWhi,m,524,9-Jul-18
NMBS,BluDas,f,525,9-Jul-18
NMBS,CrRWhi,m,526,9-Jul-18
NMBS,BluDas,m,527,9-Jul-18
NMBS,CrRWhi,m,528,9-Jul-18
NMBS,CrRWhi,m,529,9-Jul-18
NMBS,CrRWhi,m,529,12-Jul-18
NMBS,CrRWhi,m,530,9-Jul-18
NMBS,CrRWhi,f,531,9-Jul-18
NMBS,CrRWhi,m,532,9-Jul-18
NMBS,CrRWhi,m,533,9-Jul-18
NMBS,CrRWhi,m,535,9-Jul-18
NMBS,CrRWhi,m,535,10-Jul-18
NMBS,CrRWhi,m,536,9-Jul-18
NMBS,CrRWhi,m,537,9-Jul-18
NMBS,CrRWhi,m,538,9-Jul-18
NMBS,CrRWhi,m,539,9-Jul-18
NMBS,CrRWhi,m,540,9-Jul-18
NMBS,CrRWhi,m,541,9-Jul-18
NMBS,CrRWhi,m,542,9-Jul-18
NMBS,CrRWhi,m,543,9-Jul-18
NMBS,CrRWhi,m,544,9-Jul-18
NMBS,CrRWhi,m,544,10-Jul-18
NMBS,CrRWhi,m,545,9-Jul-18
NMBS,CrRWhi,m,545,10-Jul-18
NMBS,CrRWhi,m,546,9-Jul-18
NMBS,CrRWhi,m,546,10-Jul-18
NMBS,PaiSki,m,547,9-Jul-18
NMBS,SpaSki,f,548,9-Jul-18
NMBS,CrRWhi,m,549,9-Jul-18
NMBS,CrRWhi,m,549,10-Jul-18
